index,Tournament,Place,$USD,Player,Team,Race,Country
1,2010 TG Sambo Intel StarCraft II Open Season 1, 1st,85700.0,FruitDealer, Team SCV Life,Zerg,Korea (South)
2,2010 TG Sambo Intel StarCraft II Open Season 1, 2nd,25700.0,RainBOw, StarTale,Terran,Korea (South)
3,2010 TG Sambo Intel StarCraft II Open Season 1, 3rd-4th,8600.0,LiveForever, NEX,Terran,Korea (South)
3,2010 TG Sambo Intel StarCraft II Open Season 1, 3rd-4th,8600.0,Ensnare, Old Generations,Terran,Korea (South)
5,2010 TG Sambo Intel StarCraft II Open Season 1,5th-8th,3400.0,Maka, Prime,Terran,Korea (South)
5,2010 TG Sambo Intel StarCraft II Open Season 1,5th-8th,3400.0,InCa, Old Generations,Protoss,Korea (South)
5,2010 TG Sambo Intel StarCraft II Open Season 1,5th-8th,3400.0,TricKsteR, Team SCV Life,Protoss,Korea (South)
5,2010 TG Sambo Intel StarCraft II Open Season 1,5th-8th,3400.0,HongUn, Prime,Protoss,Korea (South)
9,2010 TG Sambo Intel StarCraft II Open Season 1,9th-16th,1710.0,Nettie, Prime,Protoss,Korea (South)
9,2010 TG Sambo Intel StarCraft II Open Season 1,9th-16th,1710.0,LegalMind, Zenith,Protoss,Korea (South)
9,2010 TG Sambo Intel StarCraft II Open Season 1,9th-16th,1710.0,TOP, Old Generations,Terran,Korea (South)
9,2010 TG Sambo Intel StarCraft II Open Season 1,9th-16th,1710.0,San, Zenith,Protoss,Korea (South)
9,2010 TG Sambo Intel StarCraft II Open Season 1,9th-16th,1710.0,Hyperdub, Old Generations,Terran,Korea (South)
9,2010 TG Sambo Intel StarCraft II Open Season 1,9th-16th,1710.0,Check (Lee Hyung Joo), Prime,Zerg,Korea (South)
9,2010 TG Sambo Intel StarCraft II Open Season 1,9th-16th,1710.0,Anypro, Prime,Protoss,Korea (South)
9,2010 TG Sambo Intel StarCraft II Open Season 1,9th-16th,1710.0,Clide, Team SCV Life,Terran,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,IdrA, Evil Geniuses,Zerg,United States of America
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,August, StarTale,Terran,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,JookTo, Jung,Zerg,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,Tankboy, Prime,Terran,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,TaeJa, NEX,Terran,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,Polt, Prime,Terran,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,Maru, Prime,Terran,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,ZanDarke, ReX,Protoss,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,FreeSaGa, NEX,Protoss,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,TLO, Team Liquid,Terran,Germany
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,Keeping, WeRRa,Protoss,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,Justfake, WeRRa,Terran,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,TheWinD, Old Generations,Zerg,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,ByuN, NEX,Protoss,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,DAVIT,Teamless,Terran,Korea (South)
17,2010 TG Sambo Intel StarCraft II Open Season 1,17th-32nd,430.0,Zenio, Old Generations,Zerg,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,JiTaeHoon, Zenith,Terran,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,BrEEzE,Teamless,Terran,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Spunky, Old Generations,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,NesTea, Incredible Miracle,Zerg,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,FoCuS,Teamless,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,RenieHouR, Zenith,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Junwi, Old Generations,Zerg,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Aory, Prime,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Xian (page does not exist),Teamless,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,GuineaPig, Team SCV Life,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Wind, Prime,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,MC, Old Generations,Protoss,Korea (South)
33,2010 TG Sambo Intel StarCraft II Open Season 1,33rd-64th,260.0,Cella, WeRRa,Zerg,Korea (South)
